Company,Domain,Organization,Contact Name,Email,Position,Department,Confidence,Role Type,Priority Score,Source Count,Phone,LinkedIn,Twitter,Scraped At,Success,Line Number,Error
fastcompany.com,fastcompanycom.com,fastcompany.com,,,,,,,,0,,,,2026-02-10 21:00:57,No,526,No marketing/sales contacts found
inc.com,inccom.com,inc.com,,,,,,,,0,,,,2026-02-10 21:01:00,No,527,No marketing/sales contacts found
latimes.com,latimescom.com,latimes.com,,,,,,,,0,,,,2026-02-10 21:01:02,No,528,No marketing/sales contacts found
bisnow.com,bisnowcom.com,bisnow.com,,,,,,,,0,,,,2026-02-10 21:01:05,No,529,No marketing/sales contacts found
bloomberg.com,bloombergcom.com,bloomberg.com,,,,,,,,0,,,,2026-02-10 21:01:07,No,530,No marketing/sales contacts found
cnbc.com,cnbccom.com,cnbc.com,,,,,,,,0,,,,2026-02-10 21:01:10,No,531,No marketing/sales contacts found
therealdeal.com,therealdealcom.com,therealdeal.com,,,,,,,,0,,,,2026-02-10 21:01:12,No,532,No marketing/sales contacts found
inman.com,inmancom.com,inman.com,,,,,,,,0,,,,2026-02-10 21:01:15,No,533,No marketing/sales contacts found
ap.org,aporg.com,ap.org,,,,,,,,0,,,,2026-02-10 21:01:17,No,534,No marketing/sales contacts found
reuters.com,reuterscom.com,reuters.com,,,,,,,,0,,,,2026-02-10 21:01:20,No,535,No marketing/sales contacts found
